freq (Hz),H(f) (dB),H(f) (dB)
5.960E6,-9.950,-6.923
5.980E6,-9.976,-6.958
6.000E6,-10.00,-6.993
6.020E6,-10.03,-7.027
6.040E6,-10.05,-7.062
6.060E6,-10.08,-7.096
6.080E6,-10.11,-7.131
6.100E6,-10.13,-7.165
6.120E6,-10.16,-7.199
6.140E6,-10.18,-7.233
6.160E6,-10.21,-7.267
6.180E6,-10.23,-7.301
6.200E6,-10.26,-7.335
6.220E6,-10.28,-7.369
6.240E6,-10.31,-7.402
6.260E6,-10.34,-7.436
6.280E6,-10.36,-7.469
6.300E6,-10.39,-7.502
6.320E6,-10.41,-7.535
6.340E6,-10.44,-7.569
6.360E6,-10.46,-7.601
6.380E6,-10.49,-7.634
6.400E6,-10.51,-7.667
6.420E6,-10.53,-7.700
6.440E6,-10.56,-7.732
6.460E6,-10.58,-7.765
6.480E6,-10.61,-7.797
6.500E6,-10.63,-7.830
6.520E6,-10.66,-7.862
6.540E6,-10.68,-7.894
6.560E6,-10.71,-7.926
6.580E6,-10.73,-7.958
6.600E6,-10.75,-7.990
6.620E6,-10.78,-8.021
6.640E6,-10.80,-8.053
6.660E6,-10.83,-8.084
6.680E6,-10.85,-8.116
6.700E6,-10.87,-8.147
6.720E6,-10.90,-8.178
6.740E6,-10.92,-8.210
6.760E6,-10.95,-8.241
6.780E6,-10.97,-8.272
6.800E6,-10.99,-8.302
6.820E6,-11.02,-8.333
6.840E6,-11.04,-8.364
6.860E6,-11.06,-8.395
6.880E6,-11.09,-8.425
6.900E6,-11.11,-8.456
6.920E6,-11.13,-8.486
6.940E6,-11.16,-8.516
6.960E6,-11.18,-8.546
6.980E6,-11.20,-8.576
7.000E6,-11.22,-8.606
7.020E6,-11.25,-8.636
7.040E6,-11.27,-8.666
7.060E6,-11.29,-8.696
7.080E6,-11.32,-8.725
7.100E6,-11.34,-8.755
7.120E6,-11.36,-8.785
7.140E6,-11.38,-8.814
7.160E6,-11.41,-8.843
7.180E6,-11.43,-8.872
7.200E6,-11.45,-8.902
7.220E6,-11.47,-8.931
7.240E6,-11.50,-8.960
7.260E6,-11.52,-8.989
7.280E6,-11.54,-9.017
7.300E6,-11.56,-9.046
7.320E6,-11.58,-9.075
7.340E6,-11.61,-9.103
7.360E6,-11.63,-9.132
7.380E6,-11.65,-9.160
7.400E6,-11.67,-9.189
7.420E6,-11.69,-9.217
7.440E6,-11.72,-9.245
7.460E6,-11.74,-9.273
7.480E6,-11.76,-9.301
7.500E6,-11.78,-9.329
7.520E6,-11.80,-9.357
7.540E6,-11.82,-9.385
7.560E6,-11.85,-9.412
7.580E6,-11.87,-9.440
7.600E6,-11.89,-9.468
7.620E6,-11.91,-9.495
7.640E6,-11.93,-9.522
7.660E6,-11.95,-9.550
7.680E6,-11.97,-9.577
7.700E6,-12.00,-9.604
7.720E6,-12.02,-9.631
7.740E6,-12.04,-9.658
7.760E6,-12.06,-9.685
7.780E6,-12.08,-9.712
7.800E6,-12.10,-9.739
7.820E6,-12.12,-9.766
7.840E6,-12.14,-9.792
7.860E6,-12.16,-9.819
7.880E6,-12.18,-9.845
7.900E6,-12.20,-9.872
7.920E6,-12.22,-9.898
7.940E6,-12.25,-9.924
7.960E6,-12.27,-9.951
7.980E6,-12.29,-9.977
8.000E6,-12.31,-10.00
8.020E6,-12.33,-10.03
8.040E6,-12.35,-10.05
8.060E6,-12.37,-10.08
8.080E6,-12.39,-10.11
8.100E6,-12.41,-10.13
8.120E6,-12.43,-10.16
8.140E6,-12.45,-10.18
8.160E6,-12.47,-10.21
8.180E6,-12.49,-10.23
8.200E6,-12.51,-10.26
8.220E6,-12.53,-10.29
8.240E6,-12.55,-10.31
8.260E6,-12.57,-10.34
8.280E6,-12.59,-10.36
8.300E6,-12.61,-10.39
8.320E6,-12.63,-10.41
8.340E6,-12.65,-10.44
8.360E6,-12.67,-10.46
8.380E6,-12.69,-10.49
8.400E6,-12.71,-10.51
8.420E6,-12.73,-10.54
8.440E6,-12.75,-10.56
8.460E6,-12.77,-10.58
8.480E6,-12.78,-10.61
8.500E6,-12.80,-10.63
8.520E6,-12.82,-10.66
8.540E6,-12.84,-10.68
8.560E6,-12.86,-10.71
8.580E6,-12.88,-10.73
8.600E6,-12.90,-10.75
8.620E6,-12.92,-10.78
8.640E6,-12.94,-10.80
8.660E6,-12.96,-10.83
8.680E6,-12.98,-10.85
8.700E6,-13.00,-10.87
8.720E6,-13.01,-10.90
8.740E6,-13.03,-10.92
8.760E6,-13.05,-10.95
8.780E6,-13.07,-10.97
8.800E6,-13.09,-10.99
8.820E6,-13.11,-11.02
8.840E6,-13.13,-11.04
8.860E6,-13.15,-11.06
8.880E6,-13.16,-11.09
8.900E6,-13.18,-11.11
8.920E6,-13.20,-11.13
8.940E6,-13.22,-11.16
8.960E6,-13.24,-11.18
8.980E6,-13.26,-11.20
9.000E6,-13.28,-11.23
9.020E6,-13.29,-11.25
9.040E6,-13.31,-11.27
9.060E6,-13.33,-11.29
9.080E6,-13.35,-11.32
9.100E6,-13.37,-11.34
9.120E6,-13.39,-11.36
9.140E6,-13.40,-11.38
9.160E6,-13.42,-11.41
9.180E6,-13.44,-11.43
9.200E6,-13.46,-11.45
9.220E6,-13.48,-11.47
9.240E6,-13.49,-11.50
9.260E6,-13.51,-11.52
9.280E6,-13.53,-11.54
9.300E6,-13.55,-11.56
9.320E6,-13.57,-11.59
9.340E6,-13.58,-11.61
9.360E6,-13.60,-11.63
9.380E6,-13.62,-11.65
9.400E6,-13.64,-11.67
9.420E6,-13.65,-11.70
9.440E6,-13.67,-11.72
9.460E6,-13.69,-11.74
9.480E6,-13.71,-11.76
9.500E6,-13.72,-11.78
9.520E6,-13.74,-11.80
9.540E6,-13.76,-11.83
9.560E6,-13.78,-11.85
9.580E6,-13.79,-11.87
9.600E6,-13.81,-11.89
9.620E6,-13.83,-11.91
9.640E6,-13.85,-11.93
9.660E6,-13.86,-11.95
9.680E6,-13.88,-11.97
9.700E6,-13.90,-12.00
9.720E6,-13.92,-12.02
9.740E6,-13.93,-12.04
9.760E6,-13.95,-12.06
9.780E6,-13.97,-12.08
9.800E6,-13.98,-12.10
9.820E6,-14.00,-12.12
9.840E6,-14.02,-12.14
9.860E6,-14.03,-12.16
9.880E6,-14.05,-12.18
9.900E6,-14.07,-12.20
9.920E6,-14.09,-12.23
9.940E6,-14.10,-12.25
9.960E6,-14.12,-12.27
9.980E6,-14.14,-12.29
10.00E6,-14.15,-12.31
