freq (Hz),value(db((vfreq('ac "/OUTp") - vfreq('ac "/OUTn"))) "R2" 1000) (dB),value(db((vfreq('ac "/OUTp") - vfreq('ac "/OUTn"))) "R2" 3000) (dB),value(db((vfreq('ac "/OUTp") - vfreq('ac "/OUTn"))) "R2" 30000) (dB),value(db((vfreq('ac "/OUTp") - vfreq('ac "/OUTn"))) "R2" 300000) (dB),value(db((vfreq('ac "/OUTp") - vfreq('ac "/OUTn"))) "R2" 3000000) (dB),value(db((vfreq('ac "/OUTp") - vfreq('ac "/OUTn"))) "R2" 10001000) (dB)
28.18E3,-328.2E-3,9.319,29.31,48.61,61.08,62.58
31.62E3,-328.2E-3,9.319,29.31,48.57,60.50,61.79
35.48E3,-328.3E-3,9.319,29.31,48.53,59.88,60.97
39.81E3,-328.3E-3,9.319,29.31,48.48,59.20,60.11
44.67E3,-328.3E-3,9.319,29.30,48.41,58.47,59.23
50.12E3,-328.3E-3,9.319,29.30,48.33,57.70,58.33
56.23E3,-328.3E-3,9.319,29.30,48.22,56.89,57.41
63.10E3,-328.3E-3,9.319,29.30,48.10,56.05,56.47
70.79E3,-328.3E-3,9.319,29.30,47.94,55.18,55.52
79.43E3,-328.3E-3,9.319,29.29,47.76,54.29,54.57
89.13E3,-328.4E-3,9.319,29.29,47.54,53.37,53.60
100.0E3,-328.4E-3,9.319,29.29,47.27,52.44,52.63
112.2E3,-328.4E-3,9.318,29.28,46.96,51.50,51.65
125.9E3,-328.5E-3,9.318,29.27,46.60,50.55,50.66
141.3E3,-328.5E-3,9.318,29.26,46.18,49.58,49.68
158.5E3,-328.6E-3,9.318,29.25,45.70,48.61,48.69
177.8E3,-328.7E-3,9.317,29.24,45.17,47.63,47.70
199.5E3,-328.8E-3,9.317,29.22,44.58,46.65,46.70
223.9E3,-329.0E-3,9.317,29.20,43.94,45.67,45.71
251.2E3,-329.2E-3,9.316,29.17,43.24,44.68,44.71
281.8E3,-329.4E-3,9.315,29.14,42.50,43.69,43.72
316.2E3,-329.7E-3,9.314,29.09,41.72,42.70,42.72
354.8E3,-330.1E-3,9.313,29.04,40.90,41.70,41.72
398.1E3,-330.6E-3,9.311,28.97,40.05,40.71,40.72
446.7E3,-331.2E-3,9.309,28.89,39.17,39.71,39.72
501.2E3,-331.9E-3,9.306,28.79,38.27,38.71,38.73
562.3E3,-332.9E-3,9.303,28.66,37.35,37.72,37.73
631.0E3,-334.1E-3,9.299,28.51,36.42,36.72,36.73
707.9E3,-335.6E-3,9.294,28.32,35.47,35.72,35.73
794.3E3,-337.5E-3,9.287,28.10,34.51,34.72,34.73
891.3E3,-340.0E-3,9.279,27.83,33.55,33.72,33.73
1.000E6,-343.0E-3,9.269,27.52,32.57,32.72,32.73
1.122E6,-346.8E-3,9.256,27.16,31.59,31.72,31.73
1.259E6,-351.6E-3,9.240,26.74,30.61,30.72,30.73
1.413E6,-357.6E-3,9.220,26.26,29.63,29.72,29.73
1.585E6,-365.2E-3,9.195,25.73,28.64,28.72,28.73
1.778E6,-374.6E-3,9.163,25.14,27.64,27.72,27.73
1.995E6,-386.6E-3,9.124,24.50,26.65,26.72,26.73
2.239E6,-401.5E-3,9.075,23.80,25.66,25.72,25.73
2.512E6,-420.2E-3,9.013,23.06,24.66,24.72,24.73
2.818E6,-443.6E-3,8.938,22.28,23.66,23.72,23.73
3.162E6,-472.8E-3,8.844,21.46,22.67,22.72,22.73
3.548E6,-509.1E-3,8.729,20.61,21.67,21.72,21.73
3.981E6,-554.3E-3,8.589,19.73,20.67,20.72,20.73
4.467E6,-610.4E-3,8.418,18.83,19.67,19.72,19.73
5.012E6,-679.5E-3,8.213,17.91,18.67,18.72,18.72
5.623E6,-764.4E-3,7.968,16.97,17.67,17.72,17.72
6.310E6,-868.1E-3,7.677,16.02,16.67,16.72,16.72
7.079E6,-993.9E-3,7.338,15.06,15.67,15.71,15.72
7.943E6,-1.145,6.945,14.10,14.66,14.71,14.72
8.913E6,-1.326,6.497,13.12,13.66,13.71,13.71
10.00E6,-1.538,5.992,12.14,12.66,12.70,12.71
11.22E6,-1.785,5.431,11.15,11.65,11.70,11.70
12.59E6,-2.069,4.816,10.16,10.65,10.69,10.70
14.13E6,-2.389,4.150,9.161,9.638,9.683,9.688
15.85E6,-2.744,3.437,8.160,8.628,8.673,8.678
17.78E6,-3.131,2.683,7.155,7.615,7.660,7.665
19.95E6,-3.544,1.893,6.145,6.598,6.643,6.648
22.39E6,-3.977,1.072,5.130,5.578,5.622,5.627
25.12E6,-4.422,227.1E-3,4.110,4.552,4.596,4.601
28.18E6,-4.871,-637.2E-3,3.083,3.520,3.564,3.569
31.62E6,-5.315,-1.515,2.047,2.480,2.523,2.528
35.48E6,-5.746,-2.403,1.003,1.429,1.473,1.478
39.81E6,-6.159,-3.295,-54.03E-3,366.9E-3,409.8E-3,414.8E-3
44.67E6,-6.551,-4.188,-1.125,-710.5E-3,-668.0E-3,-663.1E-3
50.12E6,-6.918,-5.078,-2.212,-1.806,-1.764,-1.759
56.23E6,-7.263,-5.961,-3.320,-2.923,-2.882,-2.877
63.10E6,-7.587,-6.834,-4.453,-4.066,-4.026,-4.021
70.79E6,-7.896,-7.696,-5.613,-5.240,-5.201,-5.196
79.43E6,-8.196,-8.544,-6.807,-6.449,-6.411,-6.406
89.13E6,-8.494,-9.379,-8.038,-7.698,-7.662,-7.657
100.0E6,-8.797,-10.20,-9.311,-8.993,-8.958,-8.954
112.2E6,-9.116,-11.01,-10.63,-10.34,-10.30,-10.30
125.9E6,-9.457,-11.81,-12.00,-11.74,-11.70,-11.70
141.3E6,-9.828,-12.61,-13.41,-13.19,-13.16,-13.16
158.5E6,-10.24,-13.42,-14.88,-14.70,-14.67,-14.67
177.8E6,-10.69,-14.22,-16.40,-16.26,-16.24,-16.24
199.5E6,-11.19,-15.04,-17.95,-17.88,-17.87,-17.86
223.9E6,-11.74,-15.87,-19.55,-19.55,-19.54,-19.54
251.2E6,-12.34,-16.71,-21.18,-21.27,-21.26,-21.26
281.8E6,-13.00,-17.58,-22.84,-23.02,-23.02,-23.02
316.2E6,-13.70,-18.46,-24.51,-24.81,-24.82,-24.82
354.8E6,-14.44,-19.35,-26.18,-26.63,-26.65,-26.65
398.1E6,-15.23,-20.27,-27.85,-28.47,-28.50,-28.50
446.7E6,-16.05,-21.20,-29.51,-30.33,-30.37,-30.38
501.2E6,-16.90,-22.14,-31.15,-32.19,-32.26,-32.26
562.3E6,-17.78,-23.09,-32.75,-34.07,-34.16,-34.16
631.0E6,-18.68,-24.05,-34.33,-35.94,-36.06,-36.07
707.9E6,-19.60,-25.02,-35.86,-37.81,-37.96,-37.97
794.3E6,-20.53,-26.00,-37.34,-39.66,-39.86,-39.87
891.3E6,-21.48,-26.98,-38.79,-41.50,-41.74,-41.76
1.000E9,-22.44,-27.97,-40.18,-43.32,-43.61,-43.64
1.122E9,-23.40,-28.96,-41.54,-45.11,-45.47,-45.49
1.259E9,-24.38,-29.96,-42.85,-46.86,-47.29,-47.32
1.413E9,-25.36,-30.96,-44.13,-48.57,-49.08,-49.12
1.585E9,-26.34,-31.96,-45.38,-50.24,-50.83,-50.87
1.778E9,-27.33,-32.97,-46.59,-51.86,-52.53,-52.59
1.995E9,-28.32,-33.97,-47.78,-53.42,-54.19,-54.24
2.239E9,-29.31,-34.98,-48.95,-54.93,-55.78,-55.85
2.512E9,-30.30,-35.99,-50.09,-56.39,-57.32,-57.39
2.818E9,-31.30,-37.00,-51.22,-57.79,-58.80,-58.88
3.162E9,-32.30,-38.01,-52.33,-59.13,-60.22,-60.31
3.548E9,-33.30,-39.02,-53.43,-60.43,-61.58,-61.68
3.981E9,-34.30,-40.03,-54.52,-61.69,-62.89,-62.99
4.467E9,-35.30,-41.05,-55.59,-62.91,-64.16,-64.26
5.012E9,-36.31,-42.07,-56.67,-64.09,-65.38,-65.49
5.623E9,-37.32,-43.09,-57.73,-65.25,-66.57,-66.68
6.310E9,-38.33,-44.11,-58.80,-66.39,-67.73,-67.85
7.079E9,-39.34,-45.14,-59.87,-67.51,-68.87,-68.98
7.943E9,-40.35,-46.18,-60.95,-68.61,-69.98,-70.10
8.913E9,-41.37,-47.22,-62.03,-69.71,-71.09,-71.20
10.00E9,-42.40,-48.28,-63.12,-70.81,-72.18,-72.29
